date,open,high,low,close,volume,trade_count,vwap
2020-04-08 08:00:00+00:00,7314.0,7314.0,7314.0,7314.0,0.0001,1.0,7314.0
2020-04-14 06:00:00+00:00,7101.5,7101.5,7101.5,7101.5,0.0001,1.0,7101.5
2020-04-14 07:00:00+00:00,7100.0,7100.0,7100.0,7100.0,0.0001,1.0,7100.0
2020-04-22 23:00:00+00:00,7118.5,7118.5,7118.5,7118.5,0.0001,1.0,7118.5
2020-04-28 12:00:00+00:00,7748.5,7748.5,7748.5,7748.5,0.0003,1.0,7748.5
2020-04-29 03:00:00+00:00,7836.0,7836.0,7836.0,7836.0,0.0837,1.0,7836.0
2020-04-30 12:00:00+00:00,8829.0,8829.0,8734.5,8734.5,0.0065,2.0,8782.476923
2020-05-01 00:00:00+00:00,8653.0,8653.0,8653.0,8653.0,0.0069,1.0,8653.0
2020-05-01 05:00:00+00:00,8826.5,8834.0,8826.5,8834.0,0.2867,2.0,8833.819498
2020-05-01 16:00:00+00:00,8716.0,8716.0,8716.0,8716.0,0.007,1.0,8716.0
2020-05-01 22:00:00+00:00,8816.5,8816.5,8816.5,8816.5,0.007,1.0,8816.5
2020-05-03 00:00:00+00:00,9045.0,9045.0,9045.0,9045.0,0.0068,1.0,9045.0
2020-05-04 21:00:00+00:00,8955.0,8955.0,8955.0,8955.0,0.0008,1.0,8955.0
2020-05-04 22:00:00+00:00,8883.5,8883.5,8883.5,8883.5,0.5,1.0,8883.5
2020-05-05 06:00:00+00:00,9007.5,9007.5,9007.5,9007.5,1.0069,1.0,9007.5
2020-05-05 15:00:00+00:00,8877.5,8877.5,8877.5,8877.5,0.0068,1.0,8877.5
2020-05-05 17:00:00+00:00,8889.5,8889.5,8889.5,8889.5,0.0245,1.0,8889.5
2020-05-07 17:00:00+00:00,9730.0,9800.5,9730.0,9800.5,1.8039,2.0,9768.312074
2020-05-08 20:00:00+00:00,10001.5,10001.5,10001.5,10001.5,1.797,1.0,10001.5
2020-05-10 00:00:00+00:00,9501.0,9501.0,8607.5,8607.5,1.9148,5.0,9449.272744
2020-05-10 01:00:00+00:00,8698.0,8698.0,8635.5,8691.5,0.0164,3.0,8674.89939
2020-05-10 02:00:00+00:00,8635.0,8635.0,8635.0,8635.0,0.0054,1.0,8635.0
2020-05-10 03:00:00+00:00,8484.0,8484.0,8484.0,8484.0,0.0055,1.0,8484.0
2020-05-10 16:00:00+00:00,8430.0,8430.0,8389.0,8389.0,1.9079,2.0,8389.116044
2020-05-10 19:00:00+00:00,8520.5,8520.5,8520.5,8520.5,0.0053,1.0,8520.5
2020-05-11 16:00:00+00:00,8248.5,8248.5,8248.5,8248.5,0.0053,1.0,8248.5
2020-05-11 18:00:00+00:00,8581.0,8581.0,8577.0,8577.0,1.5,2.0,8580.733333
