timestamp,TENKAN,KIJUN,senkou_span_a,SENKOU,CHIKOU,close,signal,entry/exit
2020-02-23 06:00:00+00:00,,,,,6766.64,9772.63,0,
2020-02-24 06:00:00+00:00,,,,,6702.97,9554.77,0,0.0
2020-02-25 06:00:00+00:00,,,,,6758.18,9188.85,0,0.0
2020-02-26 06:00:00+00:00,,,,,6372.36,8778.3,0,0.0
2020-02-27 06:00:00+00:00,,,,,6214.81,8786.54,0,0.0
2020-02-28 06:00:00+00:00,,,,,6042.61,8708.89,0,0.0
2020-02-29 06:00:00+00:00,,,,,6406.4,8588.26,0,0.0
2020-03-01 06:00:00+00:00,,,,,6347.48,8655.51,0,0.0
2020-03-02 06:00:00+00:00,,,,,6615.0,8915.0,0,0.0
2020-03-03 06:00:00+00:00,,,,,6794.87,8757.84,0,0.0
2020-03-04 06:00:00+00:00,,,,,6741.99,8937.43,0,0.0
2020-03-05 06:00:00+00:00,,,,,6780.08,9070.17,0,0.0
2020-03-06 06:00:00+00:00,,,,,6957.91,9100.09,0,0.0
2020-03-07 06:00:00+00:00,,,,,7341.56,8734.69,0,0.0
2020-03-08 06:00:00+00:00,,,,,7200.01,7862.57,0,0.0
2020-03-09 05:00:00+00:00,,,,,7370.11,7934.52,0,0.0
2020-03-10 05:00:00+00:00,,,,,7148.5,7894.68,0,0.0
2020-03-11 05:00:00+00:00,,,,,6871.91,7614.42,0,0.0
2020-03-12 05:00:00+00:00,,,,,6831.0,4849.65,0,0.0
2020-03-13 05:00:00+00:00,6944.02,,,,6695.65,5637.6,0,0.0
2020-03-14 05:00:00+00:00,6764.014999999999,,,,6861.21,5238.33,0,0.0
2020-03-15 05:00:00+00:00,6616.700000000001,,,,6900.5,5226.87,0,0.0
2020-03-16 05:00:00+00:00,6569.02,,,,6632.17,5037.61,0,0.0
2020-03-17 05:00:00+00:00,6516.139999999999,,,,7112.64,5331.71,0,0.0
2020-03-18 05:00:00+00:00,6516.139999999999,,,,7037.46,5316.84,0,0.0
2020-03-19 05:00:00+00:00,6516.139999999999,,,,7261.76,6202.83,0,0.0
2020-03-20 05:00:00+00:00,6516.139999999999,,,,7182.98,6206.1,0,0.0
2020-03-21 05:00:00+00:00,6516.139999999999,,,,6838.19,6307.96,0,0.0
2020-03-22 05:00:00+00:00,6516.139999999999,,,,6862.9,5908.79,0,0.0
2020-03-23 05:00:00+00:00,6516.139999999999,,,,7136.01,6455.1,0,0.0
2020-03-24 05:00:00+00:00,6516.139999999999,,,,7488.83,6766.64,0,0.0
2020-03-25 05:00:00+00:00,6514.045,,,,7514.64,6702.97,0,0.0
2020-03-26 05:00:00+00:00,6379.705,,,,7547.61,6758.18,0,0.0
2020-03-27 05:00:00+00:00,6022.535,,,,7742.21,6372.36,0,0.0
2020-03-28 05:00:00+00:00,6008.145,,,,7696.32,6214.81,0,0.0
2020-03-29 05:00:00+00:00,6008.145,,,,7853.57,6042.61,0,0.0
2020-03-30 05:00:00+00:00,5913.745,,,,9168.36,6406.4,0,0.0
2020-03-31 05:00:00+00:00,5424.02,,,,8624.28,6347.48,0,0.0
2020-04-01 05:00:00+00:00,5711.15,,,,8829.42,6615.0,0,0.0
