date,open,high,low,close,volume
2020-07-01 00:00:00+00:00,9110.5,9110.5,9110.5,9110.5,0.2449
2020-07-01 06:00:00+00:00,9129.5,9129.5,9129.5,9129.5,0.095
2020-07-01 07:00:00+00:00,9138.5,9146.5,9138.5,9146.5,0.0745
2020-07-01 08:00:00+00:00,9198.5,9198.5,9198.5,9198.5,0.0114
2020-07-01 12:00:00+00:00,9139.5,9139.5,9139.5,9139.5,0.07
2020-07-01 13:00:00+00:00,9180.0,9187.5,9180.0,9184.0,0.817
2020-07-01 18:00:00+00:00,9270.0,9270.0,9270.0,9270.0,0.0112
2020-07-01 19:00:00+00:00,9260.0,9260.0,9259.5,9259.5,0.5676
2020-07-01 21:00:00+00:00,9241.0,9251.0,9239.0,9251.0,0.8409
2020-07-01 22:00:00+00:00,9236.0,9236.0,9236.0,9236.0,0.3721
2020-07-01 23:00:00+00:00,9240.0,9240.0,9234.0,9234.0,1.085
2020-07-02 00:00:00+00:00,9240.0,9240.0,9240.0,9240.0,0.0264
2020-07-02 01:00:00+00:00,9237.5,9250.5,9237.5,9250.5,0.0943
2020-07-02 02:00:00+00:00,9263.0,9263.0,9263.0,9263.0,0.0284
2020-07-02 03:00:00+00:00,9254.5,9254.5,9254.5,9254.5,0.3869
2020-07-02 04:00:00+00:00,9249.5,9249.5,9240.5,9240.5,0.9872
2020-07-02 06:00:00+00:00,9208.0,9208.0,9208.0,9208.0,0.3468
2020-07-02 08:00:00+00:00,9188.0,9188.0,9184.5,9184.5,0.7028
2020-07-02 10:00:00+00:00,9195.0,9195.0,9194.5,9195.0,0.5172
2020-07-02 12:00:00+00:00,9241.0,9244.0,9241.0,9244.0,0.3087
2020-07-02 13:00:00+00:00,9237.5,9237.5,9236.5,9237.5,0.1647
2020-07-02 15:00:00+00:00,9038.0,9053.5,9038.0,9053.5,4.1726
2020-07-02 16:00:00+00:00,9029.0,9029.0,8990.0,8990.0,1.5062
2020-07-02 17:00:00+00:00,9023.0,9023.0,9023.0,9023.0,1.5
2020-07-02 18:00:00+00:00,9062.0,9062.0,9062.0,9062.0,0.0218
2020-07-02 19:00:00+00:00,9043.5,9043.5,9035.5,9035.5,0.5565
2020-07-02 20:00:00+00:00,9041.0,9041.0,9041.0,9041.0,0.0806
2020-07-02 21:00:00+00:00,9083.0,9083.0,9083.0,9083.0,0.8411
2020-07-02 22:00:00+00:00,9091.5,9091.5,9091.5,9091.5,0.0036
2020-07-02 23:00:00+00:00,9100.5,9100.5,9094.0,9094.0,0.2797
2020-07-03 00:00:00+00:00,9092.0,9103.5,9071.5,9103.5,0.8742
2020-07-03 02:00:00+00:00,9109.0,9109.0,9109.0,9109.0,0.3425
2020-07-03 06:00:00+00:00,9106.0,9106.0,9106.0,9106.0,0.0631
2020-07-03 08:00:00+00:00,9121.0,9125.0,9120.0,9120.0,0.8516
2020-07-03 09:00:00+00:00,9065.5,9065.5,9065.5,9065.5,0.0349
2020-07-03 10:00:00+00:00,9087.0,9087.0,9087.0,9087.0,0.088
2020-07-03 11:00:00+00:00,9090.0,9090.0,9090.0,9090.0,0.1323
2020-07-03 12:00:00+00:00,9115.5,9115.5,9098.5,9108.5,0.802
2020-07-03 13:00:00+00:00,9118.0,9122.5,9118.0,9121.5,0.58
2020-07-03 16:00:00+00:00,9105.5,9105.5,9105.5,9105.5,0.1098
2020-07-03 23:00:00+00:00,9073.0,9073.0,9071.5,9071.5,0.0128
2020-07-04 02:00:00+00:00,9083.5,9092.0,9083.5,9092.0,0.009
2020-07-04 07:00:00+00:00,9087.0,9087.0,9087.0,9087.0,1.2052
2020-07-04 11:00:00+00:00,9063.0,9063.0,9063.0,9063.0,0.6913
2020-07-04 17:00:00+00:00,9157.5,9157.5,9157.5,9157.5,0.0288
2020-07-04 18:00:00+00:00,9169.0,9169.0,9148.0,9148.0,2.1623
2020-07-04 21:00:00+00:00,9140.5,9140.5,9126.0,9126.0,1.5001
2020-07-04 23:00:00+00:00,9136.0,9136.0,9136.0,9136.0,0.2069
2020-07-05 00:00:00+00:00,9146.0,9146.0,9144.5,9144.5,1.3767
2020-07-05 04:00:00+00:00,9130.0,9130.0,9130.0,9130.0,0.3201
2020-07-05 05:00:00+00:00,9094.5,9094.5,9080.5,9080.5,0.7059
2020-07-05 06:00:00+00:00,9072.0,9084.5,9072.0,9083.0,1.7685
2020-07-05 07:00:00+00:00,9053.0,9063.0,9053.0,9063.0,0.0303
2020-07-05 08:00:00+00:00,9059.5,9059.5,9059.5,9059.5,0.3
2020-07-05 09:00:00+00:00,9002.5,9002.5,9002.5,9002.5,0.4416
2020-07-05 13:00:00+00:00,9034.0,9034.0,9030.0,9030.0,0.75
2020-07-05 15:00:00+00:00,9060.5,9060.5,9055.5,9055.5,1.1258
2020-07-05 19:00:00+00:00,9051.5,9051.5,9051.5,9051.5,0.1029
2020-07-05 21:00:00+00:00,8975.0,8975.0,8916.0,8936.0,1.5133
2020-07-05 22:00:00+00:00,9054.0,9110.0,9047.5,9091.5,1.5004
2020-07-05 23:00:00+00:00,9077.0,9077.0,9077.0,9077.0,0.2445
2020-07-06 01:00:00+00:00,9092.0,9092.0,9092.0,9092.0,0.0577
2020-07-06 02:00:00+00:00,9119.0,9119.5,9094.5,9102.0,2.5742
